DATE,VOLATILITY,VOLATILITY_SAMEMONTH,VOLATILITY_LASTMONTH,VOLATILITY_LASTYEAR,VOLATILITY_SUM,PRICE_SAMEMONTH,PRICE_LASTMONTH,PRICE_LASTYEAR,PRICE_SUM,SUM,STATENAME,MANDINAME
2018-11-01,0.002782023300166,1.0,0.0,0.0,1.0,0,0,0,0,1.0,WEST BENGAL,DURGAPUR
2018-11-01,0.0044159632528164,1.0,0.0,0.0,1.0,0,0,0,0,1.0,WEST BENGAL,KATWA
2018-12-01,0.0091086446188966,8.0,6.0,6.0,20.0,14,10,10,34,54.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2018-12-01,0.0011942696199129,0.0,1.0,0.0,1.0,0,0,9,9,10.0,UTTAR PRADESH,PRATAPGARH
2018-12-01,0.0010660275067608,2.0,1.0,3.0,6.0,0,0,0,0,6.0,WEST BENGAL,KASIPUR
2018-12-01,0.0077081242864378,2.0,0.0,0.0,2.0,0,0,0,0,2.0,WEST BENGAL,DURGAPUR
2018-12-01,0.001254705144291,1.0,0.0,0.0,1.0,0,0,0,0,1.0,WEST BENGAL,KATWA
2019-01-01,0.0036900369005077,9.0,6.0,6.0,21.0,14,10,10,34,55.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2019-01-01,0.0005165442484486,0.0,1.0,0.0,1.0,0,0,4,4,5.0,UTTAR PRADESH,PRATAPGARH
2019-01-01,0.0013102324380135,2.0,0.0,0.0,2.0,1,0,0,1,3.0,WEST BENGAL,DURGAPUR
2019-01-01,0.0019034442904783,1.0,0.0,2.0,3.0,0,0,0,0,3.0,WEST BENGAL,KASIPUR
2019-01-01,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1.0,WEST BENGAL,KATWA
2019-02-01,0.0054998213714709,10.0,7.0,6.0,23.0,18,14,14,46,69.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2019-02-01,0.0022356535458436,2.0,0.0,0.0,2.0,2,0,0,2,4.0,WEST BENGAL,DURGAPUR
2019-02-01,0.0003460021531136,0.0,1.0,0.0,1.0,0,0,0,0,1.0,UTTAR PRADESH,PRATAPGARH
2019-02-01,0.0012817268999399,0.0,0.0,1.0,1.0,0,0,0,0,1.0,WEST BENGAL,KASIPUR
2019-02-01,0.0020251704877078,1.0,0.0,0.0,1.0,0,0,0,0,1.0,WEST BENGAL,KATWA
2019-03-01,0.0091216497146621,11.0,8.0,6.0,25.0,20,18,18,56,81.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2019-03-01,0.0014221526984797,2.0,0.0,0.0,2.0,2,0,0,2,4.0,WEST BENGAL,DURGAPUR
2019-03-01,0.000305372690711,0.0,1.0,0.0,1.0,0,0,0,0,1.0,UTTAR PRADESH,PRATAPGARH
2019-03-01,0.0013867915146877,0.0,0.0,1.0,1.0,0,0,0,0,1.0,WEST BENGAL,KASIPUR
2019-03-01,0.0046568172183077,0.0,1.0,0.0,1.0,0,0,0,0,1.0,WEST BENGAL,KATWA
2019-04-01,0.1315905770576298,11.0,8.0,6.0,25.0,20,20,20,60,85.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2019-04-01,0.0076324625447222,2.0,1.0,0.0,3.0,2,0,0,2,5.0,WEST BENGAL,DURGAPUR
2019-04-01,0.0065142464318857,0.0,0.0,1.0,1.0,0,0,0,0,1.0,WEST BENGAL,KASIPUR
2019-04-01,0.0020526644912839,0.0,1.0,0.0,1.0,0,0,0,0,1.0,WEST BENGAL,KATWA
2019-04-01,0.0010784674016756,0.0,0.0,0.0,0.0,0,0,0,0,0.0,UTTAR PRADESH,PRATAPGARH
2019-05-01,0.0049050910013936,11.0,8.0,6.0,25.0,20,20,20,60,85.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2019-05-01,0.0104879208795702,2.0,1.0,0.0,3.0,3,1,0,4,7.0,WEST BENGAL,DURGAPUR
2019-05-01,0.002063032325127,0.0,0.0,1.0,1.0,0,0,0,0,1.0,WEST BENGAL,KASIPUR
2019-05-01,0.0009479596180698,0.0,1.0,0.0,1.0,0,0,0,0,1.0,WEST BENGAL,KATWA
2019-05-01,0.0004714089469926,0.0,0.0,0.0,0.0,0,0,0,0,0.0,UTTAR PRADESH,PRATAPGARH
2019-06-01,0.0069781812647972,11.0,7.0,5.0,23.0,20,20,20,60,83.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2019-06-01,0.0036757706140124,2.0,1.0,0.0,3.0,1,5,0,6,9.0,WEST BENGAL,DURGAPUR
2019-06-01,0.0030434158990395,0.0,0.0,1.0,1.0,0,0,0,0,1.0,WEST BENGAL,KASIPUR
